perturbation_type,perturbation_value,frame_count,sampling_mode,car_ap_3d_moderate,ped_ap_3d_moderate,cyc_ap_3d_moderate,mean_ap_3d_moderate,delta_car,delta_ped,delta_cyc,delta_mean
point_dropout,0.50,200,quick-dense,35.77696866250007,14.947085750495049,8.131412560839903,19.61848899127834,-15.498521384936247,-2.430906196630918,-19.797802840285243,-12.575743473950801
point_dropout,0.60,200,quick-dense,35.305207162472314,11.145568225156048,4.056791194738764,16.83585552745571,-15.970282884964,-6.232423721969919,-23.87242420638638,-15.358376937773432
point_dropout,0.70,200,quick-dense,29.332052416614758,9.695738764007586,5.139639639639639,14.722476940087327,-21.943437630821556,-7.68225318311838,-22.789575761485505,-17.471755525141816
point_dropout,0.80,200,quick-dense,18.404822402217256,8.153968320424884,0.9488636363636362,9.169218119668592,-32.87066764521906,-9.224023626701083,-26.980351764761508,-23.02501434556055
postprocess_score_threshold,0.00,200,quick-dense,51.275490047436314,17.377991947125967,27.929215401125145,32.19423246522914,0.0,0.0,0.0,0.0
postprocess_score_threshold,0.02,200,quick-dense,51.275490047436314,17.377991947125967,27.929215401125145,32.19423246522914,0.0,0.0,0.0,0.0
postprocess_score_threshold,0.04,200,quick-dense,51.275490047436314,17.377991947125967,27.929215401125145,32.19423246522914,0.0,0.0,0.0,0.0
postprocess_score_threshold,0.06,200,quick-dense,51.275490047436314,17.377991947125967,27.929215401125145,32.19423246522914,0.0,0.0,0.0,0.0
postprocess_score_threshold,0.08,200,quick-dense,51.275490047436314,17.377991947125967,27.929215401125145,32.19423246522914,0.0,0.0,0.0,0.0
postprocess_score_threshold,0.10,200,quick-dense,51.275490047436314,17.377991947125967,27.929215401125145,32.19423246522914,0.0,0.0,0.0,0.0
postprocess_score_threshold,0.12,200,quick-dense,51.275490047436314,17.377991947125967,27.929215401125145,32.19423246522914,0.0,0.0,0.0,0.0
postprocess_score_threshold,0.15,200,quick-dense,51.525959241216704,17.377991947125967,27.929215401125145,32.27772219648927,0.2504691937803898,0.0,0.0,0.08348973126012993
postprocess_score_threshold,0.20,200,quick-dense,51.525959241216704,17.377991947125967,27.929215401125145,32.27772219648927,0.2504691937803898,0.0,0.0,0.08348973126012993
postprocess_score_threshold,0.30,200,quick-dense,51.67065170464467,17.377991947125967,27.929215401125145,32.325953017631925,0.39516165720835517,0.0,0.0,0.1317205524027827
postprocess_score_threshold,0.40,200,quick-dense,51.76127648039992,17.458828055154086,26.722474289171206,31.98085960824174,0.48578643296360724,0.08083610802811947,-1.2067411119539386,-0.2133728569874016
postprocess_score_threshold,0.60,200,quick-dense,50.94043981253872,14.07970974050707,24.653508771929822,29.89121944165854,-0.33505023489759367,-3.2982822066188966,-3.275706629195323,-2.3030130235706032
postprocess_score_threshold,default,200,quick-dense,51.275490047436314,17.377991947125967,27.929215401125145,32.19423246522914,0.0,0.0,0.0,0.0
range_crop,20,200,quick-dense,23.073396801014976,12.988204442502793,11.547619047619047,15.869740097045607,-28.202093246421338,-4.389787504623174,-16.381596353506097,-16.324492368183535
range_crop,25,200,quick-dense,32.45658134925481,17.007213656716136,17.076585695006752,22.180126900325902,-18.818908698181502,-0.3707782904098309,-10.852629706118393,-10.01410556490324
range_crop,30,200,quick-dense,39.03703127081602,17.37758471886875,21.734213250517602,26.049609746734124,-12.238458776620291,-0.0004072282572167296,-6.195002150607543,-6.144622718495018
range_crop,35,200,quick-dense,44.50908309583609,17.388107370100684,26.887925089302918,29.59503851841323,-6.766406951600224,0.010115422974717347,-1.0412903118222268,-2.5991939468159124
range_crop,40,200,quick-dense,48.18013826940092,17.42717158892247,26.602888381644085,30.73673274665582,-3.0953517780353934,0.04917964179650269,-1.3263270194810595,-1.4574997185733203
range_crop,45,200,quick-dense,50.075788968140046,17.484211312388258,26.570793004999626,31.376931095175976,-1.1997010792962683,0.10621936526229092,-1.358422396125519,-0.8173013700531655
range_crop,50,200,quick-dense,51.2182221662177,17.420848056497746,27.91743935384876,32.18550319218807,-0.057267881218614036,0.04285610937177964,-0.011776047276384816,-0.008729273041069519
range_crop,55,200,quick-dense,51.27827852556533,17.377460258247112,27.929215401125145,32.19498472831253,0.002788478129012617,-0.0005316888788549079,0.0,0.0007522630833847188
range_crop,60,200,quick-dense,51.28313391889342,17.375092800036338,27.929215401125145,32.1958140400183,0.007643871457105433,-0.002899147089628684,0.0,0.001581574789156548
range_crop,70,200,quick-dense,51.28282928769758,17.377991947125967,27.929215401125145,32.196678878649564,0.007339240261266866,0.0,0.0,0.0024464134204222887
range_crop,full,200,quick-dense,51.28252504186695,17.377991947125967,27.929215401125145,32.196577463372684,0.007034994430632935,0.0,0.0,0.002344998143541943
