perturbation_type,perturbation_value,class_name,tp,fp,fn,precision,recall
postprocess_score_threshold,0.30,Pedestrian,65,342,37,0.1597051597051597,0.6372549019607843
postprocess_score_threshold,0.30,Cyclist,33,136,21,0.1952662721893491,0.6111111111111112
postprocess_score_threshold,0.40,Car,554,486,183,0.5326923076923077,0.751696065128901
postprocess_score_threshold,0.40,Pedestrian,62,161,40,0.27802690582959644,0.6078431372549019
postprocess_score_threshold,0.40,Cyclist,26,63,28,0.29213483146067415,0.48148148148148145
postprocess_score_threshold,0.60,Car,522,291,215,0.6420664206642066,0.7082767978290366
postprocess_score_threshold,0.60,Pedestrian,42,31,60,0.5753424657534246,0.4117647058823529
postprocess_score_threshold,0.60,Cyclist,21,15,33,0.5833333333333334,0.3888888888888889
postprocess_score_threshold,default,Car,579,2000,158,0.22450562233423807,0.7856173677069199
postprocess_score_threshold,default,Pedestrian,67,2593,35,0.02518796992481203,0.6568627450980392
postprocess_score_threshold,default,Cyclist,35,736,19,0.04539559014267185,0.6481481481481481
range_crop,20,Car,244,560,493,0.3034825870646766,0.3310719131614654
range_crop,20,Pedestrian,52,1442,50,0.03480589022757698,0.5098039215686274
range_crop,20,Cyclist,11,271,43,0.03900709219858156,0.2037037037037037
range_crop,25,Car,315,712,422,0.30671859785783834,0.42740841248303935
range_crop,25,Pedestrian,60,1731,42,0.03350083752093802,0.5882352941176471
range_crop,25,Cyclist,18,365,36,0.04699738903394256,0.3333333333333333
range_crop,30,Car,383,888,354,0.3013375295043273,0.519674355495251
range_crop,30,Pedestrian,63,2013,39,0.030346820809248554,0.6176470588235294
range_crop,30,Cyclist,22,476,32,0.04417670682730924,0.4074074074074074
range_crop,35,Car,449,1082,288,0.29327237099934683,0.6092265943012212
range_crop,35,Pedestrian,65,2240,37,0.028199566160520606,0.6372549019607843
range_crop,35,Cyclist,25,568,29,0.04215851602023609,0.46296296296296297
range_crop,40,Car,492,1338,245,0.26885245901639343,0.6675712347354138
range_crop,40,Pedestrian,66,2382,36,0.02696078431372549,0.6470588235294118
range_crop,40,Cyclist,25,669,29,0.03602305475504323,0.46296296296296297
range_crop,45,Car,527,1551,210,0.253609239653513,0.7150610583446404
range_crop,45,Pedestrian,66,2491,36,0.025811497849041846,0.6470588235294118
range_crop,45,Cyclist,29,715,25,0.038978494623655914,0.5370370370370371
range_crop,50,Car,550,1720,187,0.2422907488986784,0.746268656716418
range_crop,50,Pedestrian,66,2541,36,0.02531645569620253,0.6470588235294118
range_crop,50,Cyclist,31,735,23,0.04046997389033943,0.5740740740740741
range_crop,55,Car,564,1836,173,0.235,0.7652645861601085
range_crop,55,Pedestrian,67,2560,35,0.025504377617053674,0.6568627450980392
range_crop,55,Cyclist,35,739,19,0.04521963824289406,0.6481481481481481
range_crop,60,Car,573,1898,164,0.23188992310805343,0.7774762550881954
range_crop,60,Pedestrian,67,2581,35,0.02530211480362538,0.6568627450980392
range_crop,60,Cyclist,35,739,19,0.04521963824289406,0.6481481481481481
range_crop,70,Car,579,1998,158,0.22467986030267753,0.7856173677069199
range_crop,70,Pedestrian,67,2592,35,0.025197442647611885,0.6568627450980392
range_crop,70,Cyclist,35,736,19,0.04539559014267185,0.6481481481481481
range_crop,full,Car,579,2001,158,0.22441860465116278,0.7856173677069199
range_crop,full,Pedestrian,67,2593,35,0.02518796992481203,0.6568627450980392
range_crop,full,Cyclist,35,736,19,0.04539559014267185,0.6481481481481481
