perturbation_type,perturbation_value,range_bin,tp,fp,fn,precision,recall
range_crop,35,0-20m,302,2134,36,0.12397372742200329,0.893491124260355
range_crop,35,20-40m,237,1756,120,0.11891620672353237,0.6638655462184874
range_crop,35,40-60m,0,0,168,0.0,0.0
range_crop,35,60m+,0,0,30,0.0,0.0
range_crop,40,0-20m,302,2134,36,0.12397372742200329,0.893491124260355
range_crop,40,20-40m,270,2187,87,0.10989010989010989,0.7563025210084033
range_crop,40,40-60m,11,68,157,0.13924050632911392,0.06547619047619048
range_crop,40,60m+,0,0,30,0.0,0.0
range_crop,45,0-20m,302,2134,36,0.12397372742200329,0.893491124260355
range_crop,45,20-40m,276,2025,81,0.11994784876140809,0.773109243697479
range_crop,45,40-60m,44,598,124,0.06853582554517133,0.2619047619047619
range_crop,45,60m+,0,0,30,0.0,0.0
range_crop,50,0-20m,302,2134,36,0.12397372742200329,0.893491124260355
range_crop,50,20-40m,275,2024,82,0.11961722488038277,0.7703081232492998
range_crop,50,40-60m,70,838,98,0.07709251101321586,0.4166666666666667
range_crop,50,60m+,0,0,30,0.0,0.0
range_crop,55,0-20m,302,2134,36,0.12397372742200329,0.893491124260355
range_crop,55,20-40m,275,2023,82,0.11966927763272411,0.7703081232492998
range_crop,55,40-60m,89,978,79,0.08341143392689784,0.5297619047619048
range_crop,55,60m+,0,0,30,0.0,0.0
range_crop,60,0-20m,302,2134,36,0.12397372742200329,0.893491124260355
range_crop,60,20-40m,275,2023,82,0.11966927763272411,0.7703081232492998
range_crop,60,40-60m,96,1037,72,0.08473080317740513,0.5714285714285714
range_crop,60,60m+,2,24,28,0.07692307692307693,0.06666666666666667
range_crop,70,0-20m,302,2134,36,0.12397372742200329,0.893491124260355
range_crop,70,20-40m,275,2023,82,0.11966927763272411,0.7703081232492998
range_crop,70,40-60m,98,1002,70,0.0890909090909091,0.5833333333333334
range_crop,70,60m+,6,167,24,0.03468208092485549,0.2
range_crop,full,0-20m,302,2134,36,0.12397372742200329,0.893491124260355
range_crop,full,20-40m,275,2023,82,0.11966927763272411,0.7703081232492998
range_crop,full,40-60m,98,1002,70,0.0890909090909091,0.5833333333333334
range_crop,full,60m+,6,171,24,0.03389830508474576,0.2
